UseElemMap=true TriSplit=false TriInMesh=414 TotalEnergy=1.19872320904510e-02
$begin 'RefinePoints'
$end 'RefinePoints'
$begin 'RefineElems'
	RefineElem[5: 3.70000000000000e+02, 2.70000000000000e+02, 2.34000000000000e+02, 1.00000000000000e+02, 8.84066698711857e-11]
	RefineElem[5: 3.72000000000000e+02, 1.39000000000000e+02, 2.40000000000000e+02, 2.70000000000000e+02, 8.71299263810947e-11]
	RefineElem[5: 3.98000000000000e+02, 1.47000000000000e+02, 2.47000000000000e+02, 2.76000000000000e+02, 8.55280933139403e-11]
	RefineElem[5: 3.44000000000000e+02, 1.55000000000000e+02, 2.41000000000000e+02, 2.64000000000000e+02, 8.50767980848324e-11]
	RefineElem[5: 3.21000000000000e+02, 2.58000000000000e+02, 2.41000000000000e+02, 1.55000000000000e+02, 8.24615768187259e-11]
	RefineElem[5: 3.19000000000000e+02, 1.00000000000000e+02, 2.34000000000000e+02, 2.58000000000000e+02, 8.14870490055434e-11]
	RefineElem[5: 3.47000000000000e+02, 2.64000000000000e+02, 2.47000000000000e+02, 1.47000000000000e+02, 8.12679267462497e-11]
	RefineElem[5: 3.97000000000000e+02, 2.76000000000000e+02, 2.40000000000000e+02, 1.39000000000000e+02, 7.98806577904684e-11]
	RefineElem[5: 2.48000000000000e+02, 2.37000000000000e+02, 2.36000000000000e+02, 1.31000000000000e+02, 1.53659739268143e-12]
	RefineElem[5: 2.66000000000000e+02, 2.44000000000000e+02, 2.43000000000000e+02, 1.06000000000000e+02, 1.43501063784618e-12]
	RefineElem[5: 2.80000000000000e+02, 2.50000000000000e+02, 2.49000000000000e+02, 1.23000000000000e+02, 1.42434290886889e-12]
	RefineElem[5: 3.02000000000000e+02, 2.55000000000000e+02, 2.54000000000000e+02, 1.14000000000000e+02, 1.40625928553583e-12]
	RefineElem[5: 2.83000000000000e+02, 2.51000000000000e+02, 2.50000000000000e+02, 1.27000000000000e+02, 8.76264825091752e-13]
	RefineElem[5: 2.70000000000000e+02, 2.45000000000000e+02, 2.44000000000000e+02, 1.10000000000000e+02, 8.65158079024491e-13]
	RefineElem[5: 3.05000000000000e+02, 2.56000000000000e+02, 2.55000000000000e+02, 1.18000000000000e+02, 7.97005510180009e-13]
	RefineElem[5: 2.42000000000000e+02, 1.30000000000000e+02, 1.31000000000000e+02, 2.36000000000000e+02, 7.72849082619705e-13]
	RefineElem[5: 2.94000000000000e+02, 1.13000000000000e+02, 1.14000000000000e+02, 2.54000000000000e+02, 7.65921645090243e-13]
	RefineElem[5: 2.74000000000000e+02, 1.22000000000000e+02, 1.23000000000000e+02, 2.49000000000000e+02, 7.61162286662654e-13]
	RefineElem[5: 2.58000000000000e+02, 1.05000000000000e+02, 1.06000000000000e+02, 2.43000000000000e+02, 7.43762982785597e-13]
	RefineElem[5: 2.52000000000000e+02, 2.38000000000000e+02, 2.37000000000000e+02, 1.02000000000000e+02, 7.27963451789596e-13]
	RefineElem[5: 2.84000000000000e+02, 1.27000000000000e+02, 1.28000000000000e+02, 2.51000000000000e+02, 7.19157623345048e-13]
	RefineElem[5: 2.69000000000000e+02, 1.10000000000000e+02, 1.11000000000000e+02, 2.45000000000000e+02, 7.11009254584770e-13]
	RefineElem[5: 3.06000000000000e+02, 1.18000000000000e+02, 1.19000000000000e+02, 2.56000000000000e+02, 7.06897977760586e-13]
	RefineElem[5: 2.51000000000000e+02, 1.02000000000000e+02, 1.03000000000000e+02, 2.38000000000000e+02, 6.94173339786354e-13]
	RefineElem[5: 2.97000000000000e+02, 2.45000000000000e+02, 1.12000000000000e+02, 2.54000000000000e+02, 5.24859684403513e-13]
	RefineElem[5: 3.08000000000000e+02, 1.20000000000000e+02, 2.49000000000000e+02, 2.56000000000000e+02, 5.07150306497609e-13]
	RefineElem[5: 2.86000000000000e+02, 1.29000000000000e+02, 2.36000000000000e+02, 2.51000000000000e+02, 5.03935127524260e-13]
	RefineElem[5: 2.61000000000000e+02, 2.38000000000000e+02, 1.04000000000000e+02, 2.43000000000000e+02, 4.70587148176888e-13]
	RefineElem[5: 2.43000000000000e+02, 1.29000000000000e+02, 1.30000000000000e+02, 2.36000000000000e+02, 4.66813110309621e-13]
	RefineElem[5: 2.95000000000000e+02, 1.12000000000000e+02, 1.13000000000000e+02, 2.54000000000000e+02, 4.65247353224461e-13]
	RefineElem[5: 2.75000000000000e+02, 1.20000000000000e+02, 1.22000000000000e+02, 2.49000000000000e+02, 4.63009549904066e-13]
	RefineElem[5: 2.59000000000000e+02, 1.04000000000000e+02, 1.05000000000000e+02, 2.43000000000000e+02, 4.54649715098290e-13]
	RefineElem[5: 2.85000000000000e+02, 2.51000000000000e+02, 1.28000000000000e+02, 1.29000000000000e+02, 4.32158732827278e-13]
	RefineElem[5: 2.68000000000000e+02, 1.11000000000000e+02, 1.12000000000000e+02, 2.45000000000000e+02, 4.26546104328164e-13]
	RefineElem[5: 3.07000000000000e+02, 2.56000000000000e+02, 1.19000000000000e+02, 1.20000000000000e+02, 4.24284712326072e-13]
	RefineElem[5: 2.50000000000000e+02, 1.03000000000000e+02, 1.04000000000000e+02, 2.38000000000000e+02, 4.19088314801532e-13]
	RefineElem[5: 3.95000000000000e+02, 2.76000000000000e+02, 1.45000000000000e+02, 1.46000000000000e+02, 1.64584966594800e-13]
	RefineElem[5: 3.69000000000000e+02, 2.70000000000000e+02, 1.37000000000000e+02, 1.38000000000000e+02, 1.64107618790399e-13]
	RefineElem[5: 3.68000000000000e+02, 1.32000000000000e+02, 1.33000000000000e+02, 2.70000000000000e+02, 1.58986667835683e-13]
	RefineElem[5: 3.42000000000000e+02, 2.64000000000000e+02, 1.53000000000000e+02, 1.54000000000000e+02, 1.57725088799465e-13]
	RefineElem[5: 3.16000000000000e+02, 2.58000000000000e+02, 1.61000000000000e+02, 9.80000000000000e+01, 1.53847886061882e-13]
	RefineElem[5: 3.17000000000000e+02, 1.56000000000000e+02, 1.57000000000000e+02, 2.58000000000000e+02, 1.48464983076962e-13]
	RefineElem[5: 3.94000000000000e+02, 1.40000000000000e+02, 1.41000000000000e+02, 2.76000000000000e+02, 1.40399928118197e-13]
	RefineElem[5: 3.43000000000000e+02, 1.48000000000000e+02, 1.49000000000000e+02, 2.64000000000000e+02, 1.39327375637546e-13]
	RefineElem[5: 2.78000000000000e+02, 1.25000000000000e+02, 1.26000000000000e+02, 2.50000000000000e+02, 1.02130070416993e-13]
	RefineElem[5: 2.64000000000000e+02, 1.08000000000000e+02, 1.09000000000000e+02, 2.44000000000000e+02, 1.00075381013527e-13]
	RefineElem[5: 3.01000000000000e+02, 1.15000000000000e+02, 1.16000000000000e+02, 2.55000000000000e+02, 9.99067823614647e-14]
	RefineElem[5: 3.00000000000000e+02, 1.16000000000000e+02, 1.17000000000000e+02, 2.55000000000000e+02, 9.92389169185882e-14]
	RefineElem[5: 2.47000000000000e+02, 1.21000000000000e+02, 1.01000000000000e+02, 2.37000000000000e+02, 9.85398650988304e-14]
	RefineElem[5: 2.46000000000000e+02, 1.01000000000000e+02, 9.90000000000000e+01, 2.37000000000000e+02, 9.79309429841259e-14]
	RefineElem[5: 2.79000000000000e+02, 1.24000000000000e+02, 1.25000000000000e+02, 2.50000000000000e+02, 9.47519945353235e-14]
	RefineElem[5: 2.65000000000000e+02, 1.07000000000000e+02, 1.08000000000000e+02, 2.44000000000000e+02, 9.13609033124389e-14]
	RefineElem[5: 2.99000000000000e+02, 1.17000000000000e+02, 1.18000000000000e+02, 2.55000000000000e+02, 6.83096831363413e-14]
	RefineElem[5: 2.45000000000000e+02, 9.90000000000000e+01, 1.02000000000000e+02, 2.37000000000000e+02, 6.79607484725005e-14]
	RefineElem[5: 2.77000000000000e+02, 1.26000000000000e+02, 1.27000000000000e+02, 2.50000000000000e+02, 6.78979867202224e-14]
	RefineElem[5: 2.63000000000000e+02, 1.09000000000000e+02, 1.10000000000000e+02, 2.44000000000000e+02, 6.70510438911576e-14]
	RefineElem[5: 2.81000000000000e+02, 1.23000000000000e+02, 1.24000000000000e+02, 2.50000000000000e+02, 6.39116871990210e-14]
	RefineElem[5: 2.67000000000000e+02, 1.06000000000000e+02, 1.07000000000000e+02, 2.44000000000000e+02, 6.37413801222409e-14]
	RefineElem[5: 2.49000000000000e+02, 1.31000000000000e+02, 1.21000000000000e+02, 2.37000000000000e+02, 6.23509414111485e-14]
	RefineElem[5: 3.03000000000000e+02, 1.14000000000000e+02, 1.15000000000000e+02, 2.55000000000000e+02, 6.19462494314663e-14]
	RefineElem[5: 3.18000000000000e+02, 2.58000000000000e+02, 9.80000000000000e+01, 1.00000000000000e+02, 5.34073044709744e-14]
	RefineElem[5: 3.96000000000000e+02, 1.39000000000000e+02, 1.40000000000000e+02, 2.76000000000000e+02, 5.07341164462396e-14]
	RefineElem[5: 3.20000000000000e+02, 1.55000000000000e+02, 1.56000000000000e+02, 2.58000000000000e+02, 5.07066222472670e-14]
	RefineElem[5: 3.46000000000000e+02, 1.47000000000000e+02, 1.48000000000000e+02, 2.64000000000000e+02, 4.91383075589854e-14]
	RefineElem[5: 3.45000000000000e+02, 2.64000000000000e+02, 1.54000000000000e+02, 1.55000000000000e+02, 4.80380107384639e-14]
	RefineElem[5: 3.99000000000000e+02, 2.76000000000000e+02, 1.46000000000000e+02, 1.47000000000000e+02, 4.76692549814163e-14]
	RefineElem[5: 3.73000000000000e+02, 2.70000000000000e+02, 1.38000000000000e+02, 1.39000000000000e+02, 4.51826448626626e-14]
	RefineElem[5: 3.71000000000000e+02, 1.00000000000000e+02, 1.32000000000000e+02, 2.70000000000000e+02, 4.29050551280400e-14]
	RefineElem[5: 2.39000000000000e+02, 2.35000000000000e+02, 2.34000000000000e+02, 9.40000000000000e+01, 3.48054855413276e-14]
	RefineElem[5: 2.71000000000000e+02, 2.48000000000000e+02, 2.40000000000000e+02, 9.60000000000000e+01, 3.26193890222409e-14]
	RefineElem[5: 2.89000000000000e+02, 2.53000000000000e+02, 2.47000000000000e+02, 9.20000000000000e+01, 3.19931515806406e-14]
	RefineElem[5: 2.53000000000000e+02, 2.42000000000000e+02, 2.41000000000000e+02, 9.00000000000000e+01, 2.92785169227917e-14]
	RefineElem[5: 3.66000000000000e+02, 1.33000000000000e+02, 1.34000000000000e+02, 2.70000000000000e+02, 9.78571303120673e-15]
	RefineElem[5: 3.67000000000000e+02, 2.70000000000000e+02, 1.36000000000000e+02, 1.37000000000000e+02, 9.26942119277927e-15]
$end 'RefineElems'
